Median Unit Price - 2019,,,,,,,,,,,,,,,,
BORONIA,344500,371000,364000,365000,380000,410000,432500,485000,577000,592500,573000,587500,-3,66,5.2,
BOX HILL,308000,445000,410000,425000,458000,485000,495000,605000,548500,485000,519000,480000,7,69,5.4,
BOX HILL NORTH,480000,550000,592000,487000,557000,631500,752000,825000,858500,740000,878000,830500,19,83,6.2,
BOX HILL SOUTH,494000,563000,508000,531000,572500,648000,750000,779000,850000,726000,713000,812500,-2,44,3.7,
BRAYBROOK,315000,372000,365000,350000,352500,430000,441000,460000,514000,565000,556000,600000,-2,77,5.8,
BREAKWATER,255000,175000,288000,261500,308000,245000,295000,310000,317500,352500,360500,NA,2,41,3.5,
BRIAR HILL,392500,461500,501500,445500,453000,483500,575000,641000,670000,667000,627500,516000,-6,60,4.8,
BRIGHT,242000,253500,240000,210000,209500,244000,260000,273000,349000,342500,450000,445000,31,86,6.4,
BRIGHTON,635000,765000,790000,798000,740000,700000,845000,1000000,975000,1110000,1038000,970000,-6,63,5.0,
BRIGHTON EAST,575500,692500,700000,657500,687500,800000,962000,922500,965000,940000,990000,1036000,5,72,5.6,
BROADMEADOWS,292500,337000,325000,290000,280000,300000,300000,330000,368000,420000,395000,367000,-6,35,3.0,
BROOKFIELD,245000,153500,227500,285000,270000,270000,212500,273000,335000,400000,455000,NA,14,86,6.4,
BROOKLYN,337500,376000,377500,379000,398500,423000,447000,480000,550000,605000,567500,593000,-6,68,5.3,
BROWN HILL,219000,225000,242500,260000,251000,242500,249000,247500,255500,285000,297500,312000,4,36,3.1,
BRUNSWICK,438000,440000,438500,430000,470000,480000,495000,500000,500000,502500,555000,540000,10,27,2.4,
BRUNSWICK EAST,484000,480000,437500,450000,510000,493500,521000,510000,571000,539000,521000,550000,-3,8,0.7,
BRUNSWICK WEST,363500,410500,383000,417000,395000,409000,420000,467000,473000,450000,499000,517000,11,37,3.2,
BULLEEN,480000,523500,585000,489000,607500,629000,722500,773500,789000,746000,727000,790000,-3,51,4.2,
BUNDOORA,365000,375000,425000,390000,441000,406000,410000,400000,430000,438500,400000,415000,-9,10,0.9,
BUNYIP,254500,246500,337000,262500,335000,260000,270000,327500,310000,250000,397500,434500,59,56,4.6,
BURWOOD,473000,531000,490500,535000,542500,590000,598000,666000,750000,745000,740000,761000,-1,56,4.6,
BURWOOD EAST,439000,518000,428000,492000,572500,530000,660000,602500,857500,626000,660000,753000,5,50,4.2,
CAIRNLEA,338000,375000,415000,372500,400000,380000,429000,392500,403000,429500,432500,NA,1,28,2.5,
CALIFORNIA GULLY,152500,189000,171000,180000,250000,210000,246000,193500,225000,265000,188500,307500,-29,24,2.1,
CAMBERWELL,535000,630000,664500,595000,570000,695000,730000,729000,854000,927500,810000,855000,-13,51,4.2,
CAMPBELLFIELD,144500,320000,370000,255000,315000,270000,355000,340000,420000,361000,343000,472500,-5,137,9.0,
CANADIAN,210000,237000,235000,256000,250000,265000,270000,250000,279000,270500,301500,310000,11,44,3.7,
CANTERBURY,550000,650000,785000,620000,745000,1050000,1201000,986000,913000,975000,1210000,855000,24,120,8.2,
CAPEL SOUND,290000,297500,315000,310000,305000,346000,400000,405000,500000,479000,540000,495000,13,86,6.4,
CARLTON,242000,309000,479000,465000,410000,445000,543000,530500,421500,429000,407500,245500,-5,68,5.3,
CARLTON NORTH,435000,547000,519000,467000,505000,605000,560000,545000,652500,715000,592000,700000,-17,36,3.1,
CARNEGIE,430000,480000,460500,441000,460500,535000,540000,570000,594500,560000,621000,570000,11,44,3.7,
CAROLINE SPRINGS,335000,370000,401000,385000,367000,410000,395000,395000,420000,462500,465000,486000,1,39,3.3,
CARRUM,367000,440000,427500,420000,435000,458500,521000,542500,636500,670000,608000,628500,-9,66,5.2,
CARRUM DOWNS,270000,300000,310000,310000,310000,302500,319000,344000,387500,430000,431000,452500,0,60,4.8,
CASTLEMAINE,228000,257500,244000,315000,311500,260000,317500,327500,332500,396500,420000,475000,6,84,6.3,
CAULFIELD,545000,570000,595000,565000,550000,629000,622000,722500,719500,790000,750500,679000,-5,38,3.3,
CAULFIELD EAST,335500,530000,395000,375000,417000,237000,530000,322500,470000,303000,350000,470000,16,4,0.4,
CAULFIELD NORTH,505000,550000,520000,528500,542000,549000,620000,585000,569000,660000,597000,584000,-10,18,1.7,
CAULFIELD SOUTH,494000,640000,633000,580000,580000,700000,750000,755000,762500,670000,707000,681000,6,43,3.6,
CHADSTONE,500000,550000,512000,543500,580000,485000,515500,675000,765000,760000,801000,830000,5,60,4.8,
CHELSEA,330000,417500,380000,390000,404000,425000,478500,525000,600000,612500,605500,662500,-1,83,6.3,
CHELSEA HEIGHTS,325000,375000,392000,295000,364000,329500,423500,495000,599000,585000,610500,744500,4,88,6.5,
CHELTENHAM,410000,450000,450000,420000,467500,480000,508000,510000,629500,535000,575000,599000,7,40,3.4,
CHELTENHAM EAST,350000,425000,426500,426000,457000,433000,506000,640500,655000,565000,590000,777000,4,69,5.4,
CHELTENHAM NORTH,390000,437500,425000,380000,385000,408000,525000,550500,580000,574500,620000,700000,8,59,4.7,
CHIRNSIDE PARK,326000,423000,337000,329000,390000,497000,464000,476500,495000,532500,610000,684000,15,87,6.5,
CLARINDA,370000,437500,447500,380000,440000,420000,540500,515000,666000,641000,670000,675000,5,81,6.1,
CLAYTON,400000,405500,407500,412500,432000,522500,590000,540000,560500,600000,681000,622500,14,70,5.5,
CLAYTON NORTH,480000,335000,236500,520000,465000,465000,530000,629500,709000,622000,607000,156000,-2,26,2.4,
CLAYTON SOUTH,351000,415000,400000,386000,440000,460000,557500,475000,467500,505000,507500,597000,0,45,3.8,
CLIFTON HILL,488000,404000,630000,440000,600000,566500,575000,736500,679000,749000,607500,384000,-19,24,2.2,
CLYDE NORTH,-,-,191000,210000,219000,405500,211000,372000,385000,460500,518500,NA,13,NA,NA,
COBRAM,171500,169000,154500,184000,176000,185000,170000,195000,185000,180000,215000,212500,19,25,2.3,
COBURG,390000,420000,410500,415000,427000,454000,480000,487000,497500,550000,542500,520000,-1,39,3.4,
COBURG EAST,392500,380000,407500,430000,413000,540000,530000,515000,575000,575000,623000,542000,8,59,4.7,
COBURG NORTH,336500,422500,424000,432500,424500,412000,498500,525500,535000,600000,572000,627500,-5,70,5.4,
COLAC,212500,239500,208000,240000,240000,208500,203000,269500,225000,250000,310000,312000,24,46,3.8,
COLLINGWOOD,460000,547500,550000,538500,485000,585000,544500,536500,600000,560000,591000,556000,5,28,2.5,
CORIO,210500,215000,202500,175500,270000,235000,206500,215000,255000,295000,310000,282000,5,47,3.9,
COWES,280000,292000,339000,183000,309500,328000,305000,290000,305000,310000,350000,308500,13,25,2.3,
COWES WEST,282500,346500,305500,330000,315000,345000,337000,350000,389000,430000,439000,399000,2,55,4.5,
