Type,Rooms,Price,Distance,Bathroom,Car,Landsize,Year,Month,Crime
h,3.3191391941391943,1218290.8297466421,12.035233516483256,1.6527777777777777,1.8382936507936507,651.7393162393163,2016.8438644688645,5.6796398046398044,1081.1256868131868
t,2.866875489428348,939267.5348472984,10.077682067345311,1.8379013312451058,1.581832419733751,286.15113547376666,2016.680501174628,5.469851213782302,974.275646045419
u,1.9674742781281116,604859.150680385,7.580252240292116,1.184201792233654,1.1317623630932625,477.71656156654495,2016.470627281779,5.586126783936276,1365.613674078991
